Раздел,Сайт,App Store,Play Market
СберМобайл,https://sbermobile.ru/,https://apps.apple.com/ru/app/%D1%81%D0%B1%D0%B5%D1%80%D0%BC%D0%BE%D0%B1%D0%B0%D0%B9%D0%BB/id1484687078,https://play.google.com/store/apps/details?id=ru.sber.telecom&hl=ru&gl=US
Тинькофф Мобайл,https://www.tinkoff.ru/mobile-operator/,https://apps.apple.com/ru/app/%D1%82%D0%B8%D0%BD%D1%8C%D0%BA%D0%BE%D1%84%D1%84-%D0%BC%D0%BE%D0%B1%D0%B0%D0%B9%D0%BB-%D1%81%D0%BE%D1%82%D0%BE%D0%B2%D0%B0%D1%8F-%D1%81%D0%B2%D1%8F%D0%B7%D1%8C/id1255182214,https://play.google.com/store/apps/details?id=ru.tinkoff.mvno&hl=ru&gl=US
МТС,https://spb.mts.ru/,https://apps.apple.com/ru/app/%D0%BC%D0%BE%D0%B9-%D0%BC%D1%82%D1%81/id1069871095,https://play.google.com/store/apps/details?id=ru.mts.mymts&hl=ru&gl=US
Блокировка спам-звонков,https://moskva.mts.ru/personal/mobilnaya-svyaz/uslugi/mobilnaya-svyaz/blokirovka_spamzvonkov,—,—
Газпромбанк Мобайл,https://gpbmobile.ru/,https://apps.apple.com/ru/app/%D0%B3%D0%BF%D0%B1-%D0%BC%D0%BE%D0%B1%D0%B0%D0%B9%D0%BB-%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D1%81%D0%B2%D1%8F%D0%B7%D1%8C/id1563914221,https://play.google.com/store/apps/details?id=ru.gpbmobile.lk&hl=en_US&gl=US
Билайн,https://spb.beeline.ru/,https://apps.apple.com/ru/app/%D0%B1%D0%B8%D0%BB%D0%B0%D0%B9%D0%BD/id569251594,https://play.google.com/store/apps/details?id=ru.beeline.services&hl=ru&gl=US
Tele2,https://forever.tele2.ru/,,
Beeline,https://leningradskaya-obl.beeline.ru/,,
МТС,https://spb.mts.ru/personal,,
Мегафон,https://moscow.megafon.ru/,,